#;QTY;REFDES;MANUFACTURER;PARTNO;VALUE;PACKAGE;SUPPLIER;ORDER #;
137;1;R262;ROYAL OHM;0402WGF0100T1E;10;RESC1005X40N;;;
138;1;R263;ROYAL OHM;0402WGF0180T1E;18;RESC1005X40N;;;
139;3;R264,R265,R266;ROYAL OHM;0402WGF0222T1E;NO POP;RESC1005X40N;;;
140;1;R281;ROYAL OHM;0402WGF1151T1E;1K15;RESC1005X40N;;;
141;1;R282;ROYAL OHM;0402WGF3571T1E;3K57;RESC1005X40N;;;
142;2;R284,R286;ROYAL OHM;0402WGF0181T1E;180R;RESC1005X40N;;;
143;3;R287,R293,R294;VISHAY DALE;WSL2512R0100FEA;0R01;RESC6432X89N;;;
144;2;R292,R296;VISHAY DALE;WSL25124L000FEA;0R004;RESC6432X89N;;;
145;1;R295;VISHAY DALE;WSL25122L000FEA;0R0022;RESC6432X89N;;;
146;1;R298;VISHAY DALE;WSL25121L000FEA;0R001;RESC6432X89N;;;
147;1;R305;ROYAL OHM;0402WGF3300T1E;330R;RESC1005X40N;;;
148;1;R306;ROYAL OHM;0402WGF2400T1E;240R;RESC1005X40N;;;
149;5;RO1,RO2,RO3,RO4,RO5;ROYAL OHM;0402WGF0102T1E;NO POP;RESC1005X40N;AVNET;;
150;3;RO10,RO11,RO14;ROYAL OHM;0402WGJ0104T1E;NO POP;RESC3P1505X40N;AVNET;;
151;24;RP1,RP2,RP3,RP4,RP5,RP6,RP7,RP8,RP9,RP10,RP11,RP12,RP27,RP28,RP29,RP30,RP31,RP32,RP33,RP34,RP35,RP36,RP37,RP38;ROYAL OHM;4D02WGJ0510T;51R;RESCAV50P100X200X55-8N;;;
152;14;RP13,RP14,RP15,RP16,RP17,RP18,RP19,RP20,RP21,RP22,RP23,RP24,RP25,RP26;ROYAL OHM;4D02WGJ0510B1E;49.9R;RESCAV50P100X200X55-8N;;;
153;1;SNP1;;N/A;;SNPATCH;;;
154;1;SP2;LITTELFUSE;PGB102ST23WR;PGB102ST23WR;SOT23-SC203P224X300X76-3N;LIT: PGB102ST23WR;;
155;1;SW1;BOURNS;7914G;SPST;BOURNS7914G;N/A;;
156;2;SW2,SW3;OMRON;A6S-4101-H;4POLE;90HB_SERIES;OMR: A6S-4101;;
157;1;TP1;NA;N/A;TEST POINT;TP_SMT_1MM;NA;;
158;8;TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9;NA;N/A;;TPR100;;;
159;1;U1;AMCC;PPC440EPX-NTA533T;440EPX;BGA680C100P34X34_3500X3500X265;;;
160;1;U2;TEXAS INSTRUMENTS;SN74AHC1G125DCKT;;SOT65P210X110-5N;;;
161;1;U3;TI;TL7700CPSR;;SOIC127P780X200-8N;;;
162;2;U4,U5;ANALOG DEVICES;ADCMP605BCPZ;;QFN50P300X300X100-13N;;;
163;1;U6;TI;CDCU877ARHAT;;QFN50P600X600X100-41N;;;
164;8;U7,U39,U47,U49,U52,U64,U67,U68;;SN74LVC1G07DBVT;;SOT95P280X145-5N;;;
165;2;U8,U26;MICREL;SY89832UMI;;QFN50P300X300X90-17N;;;
166;1;U9;CYPRESS;CY22381FXI_0211P2;CY22381FX_0211;SOIC127P602X173-8N;CYP: CY22381FXC_0211P2;;
167;7;U10,U11,U12,U13,U14,U65,U66;TEXAS INSTRUMENTS;74AVCH4T245DGVRE4;;SOP40P640X120-16N;;;
168;1;U15;XILINX;XC5VSX95T;;BGA1136C100P34X34_3500X3500X340;;;
169;4;U16,U32,U33,U62;TEXAS INSTRUMENTS;TPS51100DGQ;TPS51100DGQ;SOP50P490X110-11N;;;
170;2;U17,U63;SAMSUNG;K7S3218T4C-FC40;;BGA165C100P11X15_1500X1700X140;;;
171;4;U18,U19,U28,U29;TEXAS INSTRUMENTS;TPS2031D;;SOIC127P600X175-8N;;;
172;2;U20,U30;MAXIM;MAX9032AKA;;SOT80P330X140-8N;;;
173;2;U21,U34;MAXIM;MAX9032AKA;;SOT80P330X140-8M;;;
174;4;U22,U23,U36,U37;TEXAS INSTRUMENTS;SN74AHC1G08DCKR;;SOT65P210X110-5N;;;
175;1;U24;CYPRESS;CY2292F;CY2292FZX_0211;SOIC127P600X173-16N;CYP: CY2292FZXC_0211P1;;
176;1;U25;ANALOG DEVICES;ADR03ARZ;;SOIC127P600X175-8N;;;
177;1;U27;TEXAS INSTRUMENTS;PTH08T220WAD;;PTH08T220W_EAS;;;
178;1;U31;MICREL;MIC2774N-29YMS;MIC2774N-29;SOT95P280X145-5N;MIC: MIC2774N-29YM5;;
179;1;U35;TEXAS INSTRUMENTS;SN74LVC1G08DCKR;74LVC1G08;SOT65P210X110-5N;TI: SN74LVC1G08DCKR;;
180;2;U38,U40;ATMEL;AT24HC04BN-SH;AT24HC04;SOIC127P600X175-8N;DIGIKEY;AT24HC04BN-SH-_-ND;
181;1;U41;ANALOG DEVICES;AD7414ARTZ-0;AD7414-0;SOT95P284X145-6N;ANA: AD7414ARTZ-0;;
182;1;U42;SPANSION;S29GL512P11FFI010;32MX16 MIRROR BIT;BGA64C100P8X8_1100X1300X140;SPA: S29GL512P11FFI010;;
183;2;U43,U44;INTERSIL;ICL3225EIAZ;ICL3225ECA;SOP65P778X200-20N;INS: ICL3225ECAZ;;
184;3;U45,U46,U48;PERICOM;PI5A3157ZAEX;PI5A3157;SON50P100X151X80-6N;PER: PI5A3157ZAEX;;
185;1;U50;TEXAS INSTRUMENTS;PTH05T210WAD;PTH05T210WAD;PTH08T210W_ECP;;;
186;1;U51;TEXAS INSTRUMENTS;PTH08T240WAD;PTH08T240WAD;PTH08T240W_EBS;;;
187;1;U53;TEXAS INSTRUMENTS;PTH08T230WAD;;PTH08T230W_ECL;;;
188;1;U54;XILINX;XC2C256_7VQ144C;;QFP50P2200X2200X160-144N;;;
189;4;U55,U56,U57,U59;TEXAS INSTRUMENTS;TPS74401RGWT;TPS74401RGWT;QFN65P500X500X100-21AL;;;
190;1;U58;NATIONAL;DP83865DVH;;QFP50P1720X2320X315-128N;;;
191;1;U60;ACTEL;AFS600-FG256;;BGA256C100P16X16_1700X1700X170;;;
192;1;U61;ANALOG DEVICES;ADM3101EACPZ-REEL;;QFN50P300X300X100-13N;;;
193;32;V1,V2,V3,V4,V5,V6,V7,V8,V9,V18,V19,V20,V21,V22,V23,V24,V25,V34,V35,V36,V37,V38,V39,V40,V49,V50,V51,V52,V53,V54,V55,V56;NA;N/A;;DIFFVIA;;;
194;1;VR4;LITTELFUSE;V5.5MLA0603XXX;5.5V 20A;VARC1608X90N;LIF: V5.5MLA0603XXX;;
195;2;X1,X4;CRYSTEK;CCLD-023-25-156.250;156.25MHZ;OSCSC254P525X720X180-6N;;;
196;1;X2;CRYSTEK;CCLD-023-25-100.000;100.00MHZ;OSCSC254P525X720X180-6N;;;
197;1;X3;CRYSTEK;CCLD-024-25-200.000;200.00MHZ;OSCSC254P525X720X180-6N;;;
198;1;X5;ECS INTERNATIONAL;ECX-306;32.768KHZ;OSCL550P340X800X250-4N;;;
199;1;Y1;CITIZEN;CS10-22.1184MAGJ-UT;22.1184MHZ;FX532A;CIT: CS10-22.1184MABJ-UT (DIGI-KEY: 300-8102-1-ND);;
200;1;Y2;CITIZEN;CS10-12.000MAGJ-UT;12.00 MHZ;FX532A;CIT: CS10-12.000MABJ-UT (DIGI-KEY: 300-8089-1-ND);;
